lon,lat
-83.5378674,41.6528052
-82.5514869,35.5950581
-87.2169149,30.42130899999999
-83.1532091,32.5596055
-85.3863599,40.1933767
-75.2554605,39.9390017
-72.6733723,41.7658043
-74.2097014,40.08212899999999
-86.2119127,32.5437448
-76.8077338,42.0897965
-95.9345034,41.2565369
-79.9958864,40.44062479999999
-74.1008627,41.4984032
-83.8874084,32.5537585
-73.7823549,40.9114882
-71.0913748,42.3151978
-81.17204389999999,37.7692817
-90.4531535,31.2437872
-72.6733723,41.7658043
-84.5120196,39.1031182
-79.14224639999999,37.4137536
-74.759717,40.2205824
-75.3399048,40.121497
-87.14228949999999,32.2332138
-74.4229266,39.3642834
-88.99368729999999,40.4842027
-120.3103494,47.4234599
-80.63396379999999,40.3697905
-85.615517,38.345068
-97.2553142,35.9450505
-79.8898816,40.4586299
-93.8159149,42.4694321
-90.5900273,34.5291253
-74.4295369,40.7851434
-88.6000478,37.0833893
-81.091203,32.0808989
-86.7816016,36.1626638
-71.10920120000002,42.1229099
-98.49362819999999,29.4241219
-95.99277500000001,36.1539816
-88.0817251,41.525031
-93.29229889999999,37.2089572
-77.5358049,35.8968236
-83.6832289,33.3048479
-73.58318349999999,40.6576022
-74.0729139,39.944285
-76.2621549,42.1034075
-81.6326234,38.3498195
-97.3307658,32.7554883
-82.99879419999999,39.9611755
-95.2352501,38.9716689
-74.1723667,40.735657
-93.0899578,44.9537029
-75.5103484,39.9016273
-93.26457409999999,42.51988679999999
-119.0187125,35.3732921
-76.2982742,36.8354258
-84.20327669999999,40.0394982
-88.2314813,43.0116784
-95.6163665,37.0373005
-81.5953849,37.4448355
-83.9296526,39.6847822
-79.0716958,38.149576
-74.0120817,40.2203907
-94.8196847,39.0611154
-72.3074326,18.594395
-77.31775770000002,42.3370164
-87.1250154,39.523652
-87.1111676,37.7719074
-90.1795281,33.5162315
-75.1652215,39.9525839
-86.13360329999999,40.486427
-84.34437179999999,36.0445222
-96.79698789999999,32.7766642
-74.5746001,39.2776156
-84.2946539,37.7478572
-86.3077368,32.3792233
-94.04768820000001,33.425125
-118.420345,34.1594324
-75.87741900000002,41.16952690000001
-117.2897652,34.1083449
-74.1329207,40.9628758
-72.1848009,40.96343350000001
-75.0593325,40.3325082
-79.6644747,36.3548586
-81.65565099999999,30.3321838
-64.83479919999999,17.7245968
-80.1844243,40.5364846
-71.44950299999999,41.4500844
-90.4951025,35.0775914
-76.5835621,36.7282054
-117.4260465,47.6587802
-89.6501481,39.78172130000001
-77.0721741,38.8763796
-77.00107860000001,41.2411897
-104.8213634,38.8338816
-94.9224637,39.3111112
-87.68769689999999,42.0450722
-90.9903703,30.1010725
-75.9282072,39.80706929999999
-91.4098726,39.9356016
-90.4892562,33.1842911
-82.9460133,39.600618
-80.6495194,41.0997803
-77.7952712,38.7134516
-118.1445155,34.1477849
-75.5483909,39.744655
-85.6680863,42.9633599
-94.7976958,29.3013479
-75.2854622,40.0067785
-84.5555347,42.732535
-79.7919754,36.0726354
-97.91306089999999,36.3393001
-78.47667810000002,38.0293059
-94.36741839999999,32.5448714
-81.5623425,38.2826001
-87.52612359999999,33.89177420000001
-82.99316069999999,40.0154745
-82.9824019,39.3331197
-76.9455301,38.9559442
-81.7657977,38.38377
-79.23532589999999,42.0970023
-110.3499216,31.5552157
-86.0100068,41.9117133
-86.954437,33.4017766
-95.67515759999999,39.0473451
-83.1343677,42.2733718
-86.9472148,33.4342755
-77.6088465,43.15657789999999
-87.83640199999999,32.5176361
-81.4534492,41.6053266
-74.1854209,40.8067546
-79.4519686,36.5618054
-73.4170673,40.6789893
-86.91193659999999,33.4859402
-75.5993692,38.3606736
-71.08103059999999,42.350211
-86.25198979999999,41.6763545
-83.8088171,39.9242266
-85.8241312,38.2856247
-97.15000739999999,32.1595947
-88.2072697,40.1105875
-76.9155291,38.9009452
-73.70846449999999,40.6642699
-80.07340049999999,34.3740431
-78.1108342,38.2454106
-80.0767266,34.9682097
-90.6677347,42.506348
-92.1193012,32.5093109
-80.9967628,40.2728452
-92.4421011,35.0886963
-87.3371523,41.6020403
-82.5514869,35.5950581
-81.51900529999999,41.0814447
-114.6276916,32.6926512
-97.3307658,32.7554883
-79.8725386,36.6915262
-88.2433829,40.1164204
-95.3696909,35.7478769
-87.4547635,41.63920239999999
-90.1848103,32.2987573
-73.89874689999999,40.9312099
-93.6249593,41.5868353
-85.17971419999999,42.3211522
-78.898619,35.9940329
-86.0066386,34.014264
-82.8779754,42.5972563
-71.10973349999999,42.3736158
-97.7430608,30.267153
-83.2504328,31.5943567
-90.0715323,29.95106579999999
-84.7999382,34.1650972
-79.6829954,40.2126932
-86.8688899,35.9250637
-78.7030721,34.3387802
-84.5120196,39.1031182
-117.1610838,32.715738
-72.3074326,18.594395
-96.83139779999999,39.0286093
-82.2023691,38.809803
-95.8608333,41.2619444
-76.4730122,37.0870821
-86.8688899,35.9250637
-98.4933873,33.9137085
-73.7326309,40.94870969999999
-122.2711639,37.8043514
-74.0470837,40.3367768
-78.39920099999999,36.3294305
-80.18727969999999,40.2625702
-83.9787808,30.8365815
